spark_energy_J,spark_peak_voltage_V,spark_peak_current_A,spark_voltage_std_V,ignition_delay_s,ignition_success,max_EGT_rise_rate_Kps,time_to_stable_s,peak_chamber_pressure_bar,mean_chamber_pressure_bar,vibration_peak_amplitude_Pa,vibration_rms_Pa,vibration_dominant_freq_Hz,EGT_std_K,pressure_std_bar,combustion_efficiency,igniter_health_percent,rul_cycles,electrode_wear_percent,spark_efficiency,igniter_resistance_ohm,spark_decay_rate,rul_class_name,rul_label,ATA_chapter,ATA_subchapter,AMM_reference,CS25_compliance,airworthiness_directive,maintenance_action,task_card,MEL_dispatch_status,MEL_category,deferral_allowed,max_deferral_cycles,sample_id,sample_name,fault_mode_name,fault_label
4.22373873611787,2121.13739010293,18.9908403558244,226.710137707535,NaN,0,0,NaN,1.50831125469668,1.33266579091991,0,0,0,39.9555781286316,0.171892313173453,0,95.1712247450094,453,0,0.889731839795312,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,403,1,normal_00001,normal,0
2.96875735909796,1778.3106440777,15.9214644474793,190.068334510885,NaN,0,0,NaN,1.50757111675912,1.33167017167176,0,0,0,36.734256865452,0.171678957808999,0,98.7981581907254,496,0,0.888787864506596,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,446,2,normal_00002,normal,0
3.9176013663161,2042.82139385083,18.2896662644759,218.339614243162,0.000437480581545913,1,27.5017677412472,NaN,1.65711957450577,1.39583135704968,38.7904177829953,8.34163121428812,100.919304690715,46.6709319591441,0.216849591344796,0.0153445961784419,95.5807816703006,485,0,1.01417082453965,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,435,3,normal_00003,normal,0
3.77478906041217,2005.24120448314,17.9532055617635,214.322990922873,0.000618593439857928,1,28.4414325458644,NaN,1.61598782724407,1.37334317304716,62.9338675120749,14.9470101106372,138.816270121524,45.5297855159842,0.205035123666902,0.0110845408904681,95.1946389416201,450,0,0.984012567213342,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,400,4,normal_00004,normal,0
3.34106787844784,1886.52656781159,16.8903367803973,201.634604138837,NaN,0,0,NaN,1.50786396924955,1.33201829588634,0,0,0,37.930325468142,0.171765674605395,0,95.780081197085,466,0,0.869791630924511,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,416,5,normal_00005,normal,0
4.30786126433261,2142.15617618089,19.1790244936093,228.956655028107,0.000361033085719775,1,29.5758594115413,NaN,1.63656240461285,1.38537804835884,37.4428707328725,9.6444553097932,149.418964344548,48.4619619914154,0.211017769032274,0.0131511634050349,98.7989997630123,451,0,1.01065708159699,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,401,6,normal_00006,normal,0
3.40021043194059,1903.15067764968,17.0391747658413,203.411412302346,NaN,0,0,NaN,1.50756403809818,1.33166226646584,0,0,0,36.7062669204188,0.171676848698833,0,98.5752125809191,455,0,0.949431592879359,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,405,7,normal_00007,normal,0
3.6708014846842,1977.42821016239,17.7041919252931,211.350299101052,NaN,0,0,NaN,1.50809425728064,1.33232896342663,0,0,0,38.935396284379,0.171832346781015,0,99.28949075905,460,0,0.922376056836859,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,410,8,normal_00008,normal,0
3.4531525693323,1917.90971802985,17.1713145230171,204.988879227699,NaN,0,0,NaN,1.50797231443992,1.33215957983065,0,0,0,38.394861885602,0.171797295700529,0,99.0492024761304,492,0,0.938892707618844,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,442,9,normal_00009,normal,0
2.92497692575559,1765.14951786757,15.8036310398342,188.661654892014,NaN,0,0,NaN,1.5079479831754,1.33212715430998,0,0,0,38.2893372629517,0.171790227293349,0,96.5641190104333,475,0,0.887602960596001,50,4.31751487874468e-05,healthy,0,74,74-11,AMM-74-11-00,CS-25.901,None,NORMAL_OPERATION,N/A,GO,N/A,1,425,10,normal_00010,normal,0
